,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
Sydney Metro Contract 6,Free Travel,"3,328","4,137","4,267","4,214","4,837","4,736","4,542","4,559","5,672","4,850","5,575","5,316","5,719","6,151","5,544","5,811","6,167","5,289","5,209","5,496","5,995","5,524","6,330","6,236",,,,,,,,,,
Sydney Metro Contract 6,School Student,"53,202","121,139","88,067","79,943","107,029","41,947","8,005","107,824","127,872","44,894","122,296","94,043","55,308","123,484","81,246","80,727","102,449","37,485","8,572","114,515","122,799","53,969","142,389","116,246",,,,,,,,,,
Sydney Metro Contract 6,Senior/Pensioner,"603,906","663,161","656,139","663,452","700,294","662,857","616,555","624,926","753,269","662,986","724,664","670,082","705,632","736,567","698,275","721,404","746,741","682,047","663,050","681,193","741,434","682,103","806,250","727,614",140,,,,,,,,,
Sydney Metro Contract 6,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,1,7,4,,,,,,,,,,,,,,,,,,
Sydney Metro Contract 6,Day Pass without SAF,,,,,,,,,,,,,,1,13,6,,,,,4,10,14,17,,,,,,,,,,
SBSC Contract 6,Adult,,,,,,,,,,,,,,,,,,,,,,,,,"3,310,834","3,642,256","3,360,023","3,535,201","3,575,593","3,095,814","3,205,800","3,346,669","3,746,945","3,318,638"
SBSC Contract 6,Adult Single Bus Trip 1,,,,,,,,,,,,,,,,,,,,,,,,,"7,108","6,118","5,240","5,756","5,290","5,296","5,173","4,051","3,806","3,447"
SBSC Contract 6,Adult Single Bus Trip 2,,,,,,,,,,,,,,,,,,,,,,,,,"3,000","2,537","2,148","2,365","2,158","2,265","2,102","1,803","1,697","1,590"
SBSC Contract 6,Adult Single Bus Trip 3,,,,,,,,,,,,,,,,,,,,,,,,,319,250,234,313,266,267,287,211,225,195
SBSC Contract 6,Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,"203,734","154,706","151,015","189,215","155,544","193,351","231,994","169,494","175,448","192,617"
SBSC Contract 6,Child/Youth Single Bus Trip 1,,,,,,,,,,,,,,,,,,,,,,,,,"1,104",639,608,869,535,619,754,414,364,424
SBSC Contract 6,Child/Youth Single Bus Trip 2,,,,,,,,,,,,,,,,,,,,,,,,,570,334,322,441,254,348,370,164,166,258
SBSC Contract 6,Child/Youth Single Bus Trip 3,,,,,,,,,,,,,,,,,,,,,,,,,60,38,29,50,26,49,52,24,33,40
SBSC Contract 6,Concession,,,,,,,,,,,,,,,,,,,,,,,,,"297,114","513,127","405,273","419,701","324,502","219,004","218,243","302,385","511,567","410,129"
SBSC Contract 6,Employee,,,,,,,,,,,,,,,,,,,,,,,,,"26,035","27,077","25,204","27,235","27,663","24,942","24,430","24,931","26,559","24,387"
SBSC Contract 6,Free Travel,,,,,,,,,,,,,,,,,,,,,,,,,"6,994","7,691","6,906","7,011","7,436","6,700","6,718","6,839","7,546","6,569"
SBSC Contract 6,School Student,,,,,,,,,,,,,,,,,,,,,,,,,"64,031","149,272","130,973","84,101","137,746","62,450","11,694","161,665","177,516","95,558"
SBSC Contract 6,Senior/Pensioner,,,,,,,,,,,,,,,,,,,,,,,,,"800,753","847,959","790,670","807,285","840,984","784,972","761,496","787,970","849,506","787,237"
